Call_date,Ticker,volume,Delivery %
2026-04-14 18:30:00,CIPLA,1297882,70.42
2026-04-12 18:30:00,CIPLA,1611654,61.2
2026-04-09 18:30:00,CIPLA,2086385,64.69
2026-04-08 18:30:00,CIPLA,2545266,65.87
2026-04-07 18:30:00,CIPLA,2476674,56.72
2026-04-06 18:30:00,CIPLA,2046737,60.04
2026-04-05 18:30:00,CIPLA,2188849,55.89
2026-04-01 18:30:00,CIPLA,3128666,66.02
2026-03-31 18:30:00,CIPLA,2180444,56.23
2026-03-29 18:30:00,CIPLA,2089130,50.62
2026-03-26 18:30:00,CIPLA,2220695,59.6
2026-03-24 18:30:00,CIPLA,1466775,51.25
2026-04-23 18:30:00,BEL,11651499,44.21
2026-04-22 18:30:00,BEL,15021500,36.27
2026-04-21 18:30:00,BEL,11538028,46.1
2026-04-20 18:30:00,BEL,13492130,50.04
2026-04-19 18:30:00,BEL,9914017,53.35
2026-04-16 18:30:00,BEL,14128030,44.97
2026-04-15 18:30:00,BEL,12197884,44.76
2026-04-14 18:30:00,BEL,9915383,58.19
2026-04-12 18:30:00,BEL,15149734,45.07
2026-04-09 18:30:00,BEL,10833065,40.47
2026-04-08 18:30:00,BEL,19917307,36.91
2026-04-07 18:30:00,BEL,20054221,42.97
2026-04-06 18:30:00,BEL,11417162,43.3
2026-04-05 18:30:00,BEL,12327836,40.78
2026-04-01 18:30:00,BEL,19686517,35.92
2026-03-31 18:30:00,BEL,25301241,29.91
2026-03-29 18:30:00,BEL,22694742,38.44
2026-03-26 18:30:00,BEL,21818224,58.32
2026-03-24 18:30:00,BEL,15134997,46.96
2026-04-23 18:30:00,ADANIENT,2271317,23.56
2026-04-22 18:30:00,ADANIENT,2948009,29.26
2026-04-21 18:30:00,ADANIENT,3517237,46.25
2026-04-20 18:30:00,ADANIENT,1818221,46.81
2026-04-19 18:30:00,ADANIENT,1795338,29.34
2026-04-16 18:30:00,ADANIENT,2408901,24.01
2026-04-15 18:30:00,ADANIENT,2188912,25.01
2026-04-14 18:30:00,ADANIENT,1779015,30.33
2026-04-12 18:30:00,ADANIENT,3729773,19.46
2026-04-09 18:30:00,ADANIENT,1700162,33.04
2026-04-08 18:30:00,ADANIENT,2481188,40.05
2026-04-07 18:30:00,ADANIENT,4197831,19.58
2026-04-06 18:30:00,ADANIENT,1566909,30.81
2026-04-05 18:30:00,ADANIENT,3153437,37.1
2026-04-01 18:30:00,ADANIENT,1830598,23.33
2026-03-31 18:30:00,ADANIENT,2328166,34.18
2026-03-29 18:30:00,ADANIENT,2825299,41.52
2026-03-26 18:30:00,ADANIENT,2585257,55.49
2026-03-24 18:30:00,ADANIENT,2537690,33.43
2026-04-23 18:30:00,ITC,17011704,69.0
2026-04-22 18:30:00,ITC,10701849,58.88
2026-04-21 18:30:00,ITC,24500511,59.55
2026-04-20 18:30:00,ITC,24411865,63.82
2026-04-19 18:30:00,ITC,13540471,63.67
2026-04-16 18:30:00,ITC,35111203,47.47
2026-04-15 18:30:00,ITC,16512053,50.45
2026-04-14 18:30:00,ITC,18701403,68.22
2026-04-12 18:30:00,ITC,16522014,57.59
2026-04-09 18:30:00,ITC,17744386,64.26
2026-04-08 18:30:00,ITC,17691477,66.83
2026-04-07 18:30:00,ITC,22310207,64.58
2026-04-06 18:30:00,ITC,26963485,57.72
2026-04-05 18:30:00,ITC,18047063,56.25
2026-04-01 18:30:00,ITC,18082775,49.49
2026-03-31 18:30:00,ITC,18604340,54.84
2026-03-29 18:30:00,ITC,24586921,57.66
2026-03-26 18:30:00,ITC,22179022,64.2
2026-03-24 18:30:00,ITC,26184716,59.61
2026-04-23 18:30:00,TECHM,3693260,45.1
2026-04-22 18:30:00,TECHM,4101549,45.53
2026-04-21 18:30:00,TECHM,11668801,34.61
2026-04-20 18:30:00,TECHM,2001948,61.28
2026-04-19 18:30:00,TECHM,1341688,42.95
2026-04-16 18:30:00,TECHM,1859402,50.8
2026-04-15 18:30:00,TECHM,1768783,47.14
2026-04-14 18:30:00,TECHM,1678561,60.99
2026-04-12 18:30:00,TECHM,1285567,44.14
2026-04-09 18:30:00,TECHM,2045026,44.6
2026-04-08 18:30:00,TECHM,1805451,39.88
2026-04-07 18:30:00,TECHM,2736951,45.76
2026-04-06 18:30:00,TECHM,1673236,43.62
2026-04-05 18:30:00,TECHM,1476736,45.15
2026-04-01 18:30:00,TECHM,2501510,46.64
2026-03-31 18:30:00,TECHM,1624500,53.35
2026-03-29 18:30:00,TECHM,3048646,37.95
2026-03-26 18:30:00,TECHM,2584016,49.9
2026-03-24 18:30:00,TECHM,4938929,42.66
2026-04-23 18:30:00,AXISBANK,3648313,59.98
2026-04-22 18:30:00,AXISBANK,5671255,56.95
2026-04-21 18:30:00,AXISBANK,3997911,58.02
2026-04-20 18:30:00,AXISBANK,5145338,52.5
2026-04-19 18:30:00,AXISBANK,4878641,55.43
2026-04-16 18:30:00,AXISBANK,4062181,59.96
2026-04-15 18:30:00,AXISBANK,5232398,37.81
2026-04-14 18:30:00,AXISBANK,6789879,63.96
2026-04-12 18:30:00,AXISBANK,8974851,56.09
2026-04-09 18:30:00,AXISBANK,6755589,59.96
2026-04-08 18:30:00,AXISBANK,6542529,40.81
2026-04-07 18:30:00,AXISBANK,13519723,66.08
2026-04-06 18:30:00,AXISBANK,9248545,58.09
2026-04-05 18:30:00,AXISBANK,7847086,48.45
2026-04-01 18:30:00,AXISBANK,9501543,47.32
2026-03-31 18:30:00,AXISBANK,6595695,53.81
2026-03-29 18:30:00,AXISBANK,18534887,47.82
2026-03-26 18:30:00,AXISBANK,9479301,65.49
2026-03-24 18:30:00,AXISBANK,9645791,63.63
2026-04-23 18:30:00,NESTLEIND,3419416,58.84
2026-04-22 18:30:00,NESTLEIND,2963135,48.85
2026-04-21 18:30:00,NESTLEIND,7723484,30.87
2026-04-20 18:30:00,NESTLEIND,9586515,28.2
2026-04-19 18:30:00,NESTLEIND,1156327,47.28
2026-04-16 18:30:00,NESTLEIND,1994195,55.15
2026-04-15 18:30:00,NESTLEIND,1126023,54.82
2026-04-14 18:30:00,NESTLEIND,1236533,61.64
2026-04-12 18:30:00,NESTLEIND,1346881,55.36
2026-04-09 18:30:00,NESTLEIND,1358310,62.71
2026-04-08 18:30:00,NESTLEIND,1258634,52.77
2026-04-07 18:30:00,NESTLEIND,1638620,51.41
2026-04-06 18:30:00,NESTLEIND,1434686,62.88
2026-04-05 18:30:00,NESTLEIND,1460974,55.63
2026-04-01 18:30:00,NESTLEIND,1357820,57.2
2026-03-31 18:30:00,NESTLEIND,1836376,61.02
2026-03-29 18:30:00,NESTLEIND,1814954,42.45
2026-03-26 18:30:00,NESTLEIND,2005121,66.94
2026-03-24 18:30:00,NESTLEIND,1003662,63.14
2026-04-23 18:30:00,HINDALCO,4526003,52.2
2026-04-22 18:30:00,HINDALCO,4370028,58.24
2026-04-21 18:30:00,HINDALCO,4474181,53.2
2026-04-20 18:30:00,HINDALCO,3002043,59.99
2026-04-19 18:30:00,HINDALCO,4286182,50.01
2026-04-16 18:30:00,HINDALCO,4301884,48.33
2026-04-15 18:30:00,HINDALCO,10942179,58.31
2026-04-14 18:30:00,HINDALCO,11075349,59.98
2026-04-12 18:30:00,HINDALCO,4754347,45.54
